iter	Passed	Remaining
0	51	102770
1	51	51910
2	52	34959
3	53	26481
4	53	21387
5	54	17990
6	54	15567
7	55	13750
8	55	12334
9	56	11202
10	56	10276
11	57	9503
12	57	8851
13	58	8289
14	58	7804
15	59	7379
16	60	7004
17	60	6672
18	61	6375
19	61	6107
20	62	5864
21	62	5642
22	63	5440
23	63	5255
24	64	5084
25	64	4927
26	65	4781
27	65	4645
28	66	4518
29	67	4401
30	67	4291
31	68	4187
32	68	4090
33	69	3998
34	69	3911
35	70	3830
36	70	3753
37	71	3680
38	71	3611
39	72	3545
40	72	3483
41	73	3423
42	73	3365
43	74	3311
44	75	3259
45	75	3210
46	76	3161
47	76	3115
48	77	3071
49	77	3029
50	78	2988
51	78	2949
52	79	2911
53	79	2875
54	80	2841
55	80	2809
56	81	2777
57	81	2745
58	82	2714
59	83	2685
60	83	2656
61	84	2628
62	84	2602
63	85	2576
64	85	2551
65	86	2527
66	86	2503
67	87	2480
68	87	2459
69	88	2437
70	88	2417
71	89	2396
72	90	2376
73	109	2850
74	110	2839
75	111	2823
76	112	2799
77	112	2775
78	113	2751
79	113	2728
80	114	2706
81	114	2684
82	115	2663
83	115	2642
84	116	2622
85	116	2602
86	117	2582
87	118	2563
88	118	2545
89	129	2738
90	129	2718
91	130	2698
92	130	2679
93	131	2660
94	131	2642
95	132	2623
96	132	2605
97	133	2588
98	133	2571
99	134	2554
100	135	2538
101	135	2522
102	136	2506
103	136	2490
104	137	2475
105	137	2459
106	138	2444
107	148	2604
108	149	2588
109	149	2572
110	150	2557
111	150	2542
112	151	2527
113	151	2512
114	152	2498
115	152	2484
116	153	2470
117	154	2456
118	154	2443
119	155	2430
120	155	2417
121	156	2404
122	156	2391
123	157	2379
124	157	2367
125	178	2652
126	178	2638
127	179	2624
128	179	2610
129	180	2596
130	181	2583
131	181	2569
132	182	2556
133	182	2543
134	183	2538
135	184	2532
136	185	2519
137	185	2507
138	186	2494
139	187	2489
140	188	2480
141	189	2475
142	189	2466
143	190	2457
144	191	2445
145	191	2434
146	192	2423
147	192	2412
148	193	2401
149	193	2390
150	194	2380
151	194	2370
152	195	2359
153	196	2349
154	196	2339
155	197	2329
156	197	2322
157	198	2319
158	199	2312
159	200	2302
160	201	2298
161	202	2295
162	203	2291
163	204	2287
164	204	2278
165	205	2269
166	205	2260
167	206	2251
168	207	2243
169	207	2234
170	208	2226
171	208	2218
172	209	2210
173	209	2201
174	210	2193
175	210	2185
176	211	2183
177	212	2180
178	214	2177
179	214	2172
180	215	2164
181	215	2156
182	216	2148
183	216	2141
184	217	2134
185	218	2126
186	218	2119
187	219	2112
188	219	2104
189	220	2097
190	221	2095
191	222	2093
192	223	2089
193	223	2083
194	224	2076
195	225	2075
196	226	2072
197	226	2065
